ID,Year,GameAssortment,Season,HomeTeam,VisitorTeam,Matchday,GameCD,League,Ranking,TeamCD,ShortName_Team,Game,Win,Lose,Draw,WinningPercentage,GameBehind,GameBehindTop,Run,PointLost,Homerun,StolenBase,BattingAverage,EarnedRunAverage,RestGame,Winner_Magic,POLastRanking,RankShiftF,UpdatedAt,CreatedAt,league
25797,2021,1,,,,20210326,,,1,1,巨人,1,1,0,0,1.00000,-,-,8,7,2,0,.290,7.00,142,-1,,0,2021-03-26T13:20:37.000Z,2021-03-26T13:20:37.000Z,pacific
25798,2021,1,,,,20210326,,,1,5,阪神,1,1,0,0,1.00000,-,-,4,3,2,1,.242,3.00,142,-1,,0,2021-03-26T13:20:37.000Z,2021-03-26T13:20:37.000Z,pacific
25799,2021,1,,,,20210326,,,1,4,中日,1,1,0,0,1.00000,-,-,7,6,1,2,.257,5.00,142,-1,,0,2021-03-26T13:20:37.000Z,2021-03-26T13:20:37.000Z,pacific
25800,2021,1,,,,20210326,,,4,3,DeNA,1,0,1,0,0.00000,1,1,7,8,0,0,.324,7.88,142,-1,,0,2021-03-26T13:20:37.000Z,2021-03-26T13:20:37.000Z,pacific
25801,2021,1,,,,20210326,,,4,6,広島,1,0,1,0,0.00000,0,1,6,7,1,0,.294,5.00,142,-1,,0,2021-03-26T13:20:37.000Z,2021-03-26T13:20:37.000Z,pacific
25802,2021,1,,,,20210326,,,4,2,ヤクルト,1,0,1,0,0.00000,0,1,3,4,0,0,.229,4.00,142,-1,,0,2021-03-26T13:20:37.000Z,2021-03-26T13:20:37.000Z,pacific
25809,2021,1,,,,20210327,,,1,1,巨人,2,2,0,0,1.00000,-,-,18,12,3,3,.297,5.50,141,-1,,0,2021-03-27T09:40:17.000Z,2021-03-27T09:40:17.000Z,pacific
25810,2021,1,,,,20210327,,,1,5,阪神,2,2,0,0,1.00000,-,-,13,8,4,4,.300,4.00,141,-1,,0,2021-03-27T09:40:17.000Z,2021-03-27T09:40:17.000Z,pacific
25811,2021,1,,,,20210327,,,3,4,中日,2,1,1,0,0.50000,1,1,8,10,1,2,.197,4.76,141,-1,,2,2021-03-27T09:40:17.000Z,2021-03-27T09:40:17.000Z,pacific
25812,2021,1,,,,20210327,,,3,6,広島,2,1,1,0,0.50000,0,1,10,8,2,0,.262,3.00,141,-1,,1,2021-03-27T09:40:17.000Z,2021-03-27T09:40:17.000Z,pacific
